date,price,Conventional Oil,Non-Conventional Oil,prod_change_conventional,price_change,price_lag_6,price_lag_12,prod_change
2009-07-01,69.32,2308707.2,7067458.0,89085.20000000019,0.7299999999999898,98.23,89.03,578577.7000000002
2009-09-01,68.11,2212676.0,6414893.1,-96031.20000000019,-1.2099999999999937,49.34,100.92,-652564.9000000004
2009-10-01,70.67,2284811.5,6952096.3,72135.5,2.5600000000000023,44.6,112.6,537203.2000000002
2009-12-01,78.39,2259351.5,6560493.1,-25460.0,7.719999999999999,48.46,141.06,-391603.2000000002
2010-01-01,79.39,2278535.3,5968168.2,19183.799999999814,1.0,52.18,125.03,-592324.8999999994
2010-02-01,74.41,2108766.8,6238742.9,-169768.5,-4.980000000000004,68.59,115.55,270574.7000000002
2010-03-01,78.71,2352116.8,6924355.2,243350.0,4.299999999999997,69.32,98.23,685612.2999999998
2010-04-01,84.53,2245983.6,6700924.9,-106133.19999999972,5.820000000000007,68.11,49.34,-223430.2999999998
2010-06-01,72.7,2192497.5,7340886.7,-53486.10000000009,-11.829999999999998,70.67,44.6,639961.7999999998
2010-07-01,72.95,2286966.9,7571798.3,94469.3999999999,0.25,78.39,48.46,230911.59999999963
2010-09-01,73.97,2204683.1,6638169.8,-82283.79999999981,1.019999999999996,79.39,52.18,-933628.5
2010-10-01,81.57,2333947.0,7195056.0,129263.8999999999,7.599999999999994,74.41,68.59,556886.2000000002
2010-11-01,82.94,2306025.0,7759823.0,-27922.0,1.3700000000000045,78.71,69.32,564767.0
2010-12-01,86.75,2410320.1,8218928.7,104295.1000000001,3.8100000000000023,84.53,68.11,459105.7000000002
2011-02-01,89.54,2188150.2,7148457.0,-222169.8999999999,2.7900000000000063,72.7,70.67,-1070471.7000000002
2011-03-01,99.63,2455478.1,7706970.7,267327.8999999999,10.08999999999999,72.95,78.39,558513.7000000002
2011-04-01,107.55,2395944.1,7445175.9,-59534.0,7.920000000000002,73.97,79.39,-261794.7999999998
2011-06-01,100.3,2219853.9,7248012.9,-176090.2000000002,-7.25,81.57,74.41,-197163.0
2011-07-01,94.81,2344236.1,8333780.3,124382.20000000019,-5.489999999999995,82.94,78.71,1085767.3999999994
2011-08-01,94.98,2432271.0,8773933.4,88034.8999999999,0.1700000000000017,86.75,84.53,440153.10000000056
2011-09-01,88.93,2437164.3,8038588.3,4893.299999999814,-6.049999999999997,89.54,72.7,-735345.1000000006
2011-11-01,92.19,2597544.5,8015631.6,160380.2000000002,3.259999999999991,99.63,72.95,-22956.700000000186
2011-12-01,100.2,2791461.7,8699535.7,193917.2000000002,8.010000000000005,107.55,73.97,683904.0999999996
2012-02-01,97.63,2619447.1,7956982.4,-172014.6000000001,-2.5700000000000074,100.3,81.57,-742553.2999999989
2012-03-01,108.76,2888108.6,7949891.1,268661.5,11.13000000000001,94.81,82.94,-7091.300000000745
2012-05-01,106.17,2780625.7,8455655.8,-107482.8999999999,-2.5900000000000034,94.98,86.75,505764.7000000011
2012-06-01,83.17,2613764.1,8342345.1,-166861.6000000001,-23.0,88.93,89.54,-113310.70000000112
2012-08-01,88.99,2715176.2,9228519.7,101412.1000000001,5.819999999999993,92.19,99.63,886174.5999999996
2012-10-01,92.44,2851859.7,9044593.5,136683.5,3.450000000000003,100.2,107.55,-183926.19999999925
2012-11-01,87.05,2810820.2,8820338.2,-41039.5,-5.390000000000001,97.63,100.3,-224255.30000000075
2013-01-01,91.83,2915192.0,9550096.0,104371.79999999981,4.780000000000001,108.76,94.81,729757.8000000007
2013-02-01,97.46,2715962.5,8597166.4,-199229.5,5.6299999999999955,106.17,94.98,-952929.5999999996
2013-03-01,90.71,3020869.1,9670964.1,304906.6000000001,-6.75,83.17,88.93,1073797.6999999993
2013-04-01,97.1,2922439.8,8664912.2,-98429.30000000028,6.390000000000001,88.99,92.19,-1006051.9000000004
2013-05-01,90.74,2955266.7,7983656.4,32826.90000000037,-6.359999999999999,92.44,100.2,-681255.7999999989
2013-07-01,97.94,2866765.6,9463548.1,-88501.1000000001,7.200000000000003,87.05,97.63,1479891.6999999993
2013-08-01,107.93,2904370.2,10341161.7,37604.60000000009,9.990000000000009,91.83,108.76,877613.5999999996
2013-10-01,102.09,2944608.3,9978262.6,40238.09999999963,-5.840000000000003,97.46,106.17,-362899.0999999996
2013-11-01,94.56,2876720.9,10082113.1,-67887.3999999999,-7.530000000000001,90.71,83.17,103850.5
2014-01-01,98.17,2994975.3,10446214.4,118254.3999999999,3.6099999999999994,97.1,88.99,364101.30000000075
2014-04-01,99.69,3029087.6,9891522.6,34112.30000000028,1.519999999999996,90.74,92.44,-554691.8000000007
2014-05-01,99.69,3001481.2,9961027.9,-27606.399999999907,0.0,97.94,87.05,69505.30000000075
2014-07-01,106.06,2977729.8,10735825.9,-23751.400000000373,6.3700000000000045,107.93,91.83,774798.0
2014-08-01,97.86,3017995.3,10745034.3,40265.5,-8.200000000000003,102.09,97.46,9208.400000000373
2014-09-01,97.86,2880356.2,10366186.3,-137639.09999999963,0.0,94.56,90.71,-378848.0
2014-10-01,90.74,3024697.1,11343763.9,144340.8999999999,-7.1200000000000045,98.17,97.1,977577.5999999996
2014-12-01,68.98,3045358.7,11336684.6,20661.600000000093,-21.75999999999999,99.69,90.74,-7079.300000000745
2015-01-01,53.45,2982698.3,11628537.9,-62660.40000000037,-15.530000000000001,99.69,97.94,291853.30000000075
2015-04-01,50.12,2727872.0,10300090.7,-254826.2999999998,-3.3300000000000054,106.06,107.93,-1328447.2000000011
2015-05-01,59.1,2722692.4,9738078.7,-5179.600000000093,8.980000000000004,97.86,102.09,-562012.0
2015-06-01,60.24,2555805.5,10656352.1,-166886.8999999999,1.1400000000000006,97.86,94.56,918273.4000000004
2015-07-01,56.94,2661151.8,12674885.3,105346.29999999981,-3.3000000000000043,90.74,98.17,2018533.2000000011
2015-09-01,45.38,2488144.0,10543736.8,-173007.7999999998,-11.559999999999995,68.98,99.69,-2131148.5
2015-10-01,44.75,2572278.3,11849586.4,84134.29999999981,-0.6300000000000026,53.45,99.69,1305849.5999999996
2015-12-01,40.58,2552873.0,12612300.9,-19405.299999999814,-4.170000000000002,50.12,106.06,762714.5
2016-01-01,37.13,2516116.9,12488415.4,-36756.10000000009,-3.4499999999999957,59.1,97.86,-123885.5
2016-02-01,31.62,2295291.3,11594999.9,-220825.6000000001,-5.510000000000002,60.24,97.86,-893415.5
2016-03-01,34.39,2537561.1,12208942.7,242269.80000000028,2.7699999999999996,56.94,90.74,613942.7999999989
2016-04-01,35.36,2401173.7,10330178.2,-136387.3999999999,0.9699999999999989,45.38,68.98,-1878764.5
2016-06-01,49.07,2357896.7,9177229.6,-43277.0,13.71,44.75,53.45,-1152948.5999999996
2016-07-01,49.02,2423625.1,12137980.0,65728.3999999999,-0.04999999999999716,40.58,50.12,2960750.4000000004
2016-08-01,40.05,2380641.2,12767829.3,-42983.89999999991,-8.970000000000006,37.13,59.1,629849.3000000007
2016-09-01,43.17,2313272.0,12262825.9,-67369.20000000019,3.1200000000000045,31.62,60.24,-505003.4000000004
2016-11-01,46.66,2291035.3,13541955.7,-22236.700000000186,3.489999999999995,34.39,56.94,1279129.7999999989
2016-12-01,51.08,2372845.3,13230084.6,81810.0,4.420000000000002,35.36,45.38,-311871.0999999996
2017-02-01,53.9,2192763.3,12602626.7,-180082.0,2.8200000000000003,49.07,44.75,-627457.9000000004
2017-03-01,53.82,2457699.7,12797993.5,264936.4000000004,-0.0799999999999983,49.02,40.58,195366.80000000075
2017-05-01,48.83,2463488.3,11816106.7,5788.5999999996275,-4.990000000000002,40.05,37.13,-981886.8000000007
2017-06-01,48.32,2391916.9,11900580.6,-71571.3999999999,-0.509999999999998,43.17,31.62,84473.90000000037
2017-08-01,49.19,2455406.1,14330562.3,63489.200000000186,0.8699999999999974,46.66,34.39,2429981.700000001
2017-09-01,47.32,2475729.6,12870313.8,20323.5,-1.8699999999999974,51.08,35.36,-1460248.5
2017-11-01,54.32,2580596.9,13698899.3,104867.29999999981,7.0,53.9,49.07,828585.5
2017-12-01,58.35,2675987.5,14505016.0,95390.6000000001,4.030000000000001,53.82,49.02,806116.6999999993
2018-01-01,60.46,2645574.0,13751022.9,-30413.5,2.1099999999999994,48.83,40.05,-753993.0999999996
2018-02-01,65.92,2415498.4,12879292.2,-230075.6000000001,5.460000000000001,48.32,43.17,-871730.7000000011
2018-03-01,60.98,2745919.0,14342122.6,330420.6000000001,-4.940000000000005,49.19,46.66,1462830.4000000004
2018-05-01,67.28,2823943.9,13811779.8,78024.8999999999,6.300000000000004,47.32,51.08,-530342.7999999989
2018-06-01,65.81,2706176.4,13465187.4,-117767.5,-1.4699999999999989,54.32,53.9,-346592.4000000004
2018-08-01,68.8,2982474.3,15395848.9,276297.8999999999,2.989999999999995,58.35,53.82,1930661.5
2018-10-01,75.37,2991510.9,15062982.5,9036.600000000093,6.570000000000007,60.46,48.83,-332866.4000000004
2018-11-01,63.67,2851147.9,14917863.1,-140363.0,-11.700000000000003,65.92,48.32,-145119.40000000037
2019-01-01,45.15,2835456.0,13966728.0,-15691.899999999907,-18.520000000000003,60.98,49.19,-951135.0999999996
2019-02-01,55.29,2503672.8,12794304.0,-331783.2000000002,10.14,67.28,47.32,-1172424.0
2019-03-01,55.76,2858713.6,14251801.7,355040.8000000003,0.46999999999999886,65.81,54.32,1457497.6999999993
2019-04-01,61.59,2814907.2,14154673.8,-43806.39999999991,5.830000000000005,68.8,58.35,-97127.89999999851
2019-05-01,63.55,2848100.5,13843963.5,33193.299999999814,1.9599999999999937,75.37,60.46,-310710.30000000075
2019-07-01,58.91,2789658.0,14861765.4,-58442.5,-4.640000000000001,63.67,65.92,1017801.9000000004
2019-08-01,53.64,2817250.1,14985923.8,27592.100000000093,-5.269999999999996,45.15,60.98,124158.40000000037
2019-10-01,53.6,2802447.1,14242119.0,-14803.0,-0.03999999999999915,55.29,67.28,-743804.8000000007
2019-11-01,56.04,2804337.8,14242021.6,1890.6999999997206,2.4399999999999977,55.76,65.81,-97.40000000037253
2020-01-01,61.14,2782871.0,14983601.1,-21466.799999999814,5.100000000000001,61.59,68.8,741579.5
2020-04-01,20.28,2306739.8,12458925.4,-476131.2000000002,-40.86,63.55,75.37,-2524675.6999999993
2020-05-01,19.72,1982695.1,12270285.3,-324044.6999999997,-0.5600000000000023,58.91,63.67,-188640.09999999963
2020-06-01,35.49,2164051.3,12660578.0,181356.19999999972,15.770000000000003,53.64,45.15,390292.69999999925
2020-07-01,39.88,2361594.6,12973088.9,197543.30000000028,4.390000000000001,53.6,55.29,312510.9000000004
2020-09-01,42.76,2296290.8,12670770.4,-65303.80000000028,2.8799999999999955,56.04,55.76,-302318.5
2020-10-01,38.51,2443251.7,14007060.6,146960.90000000037,-4.25,61.14,61.59,1336290.1999999993
2020-12-01,44.54,2453353.9,16293414.4,10102.19999999972,6.030000000000001,20.28,63.55,2286353.8000000007
2021-01-01,48.35,2402786.0,16011452.4,-50567.89999999991,3.8100000000000023,19.72,58.91,-281962.0
2021-02-01,53.55,2104825.2,13794445.2,-297960.7999999998,5.199999999999996,35.49,53.64,-2217007.200000001
2021-03-01,60.54,2449490.5,15414115.9,344665.2999999998,6.990000000000002,39.88,53.6,1619670.7000000011
